"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"69",131870,"health","off_brand",4.4,4,27,NA,1060
"70",195444,"health","off_brand",4.4,6,20,86.4,2965
"71",62057,"toys","premium",2.9,11,15,57.2,1309
"72",182379,"health","off_brand",4.8,16,21,69.7,1467
"73",156382,"toys","off_brand",4.8,10,10,42,950
"74",230348,"toys","off_brand",4.4,14,19,76.8,2594
"75",104500,"health","premium",3.9,6,17,76.9,1940
"76",155552,"health","premium",4.8,8,17,57.8,1185
"77",90996,"other","premium",4.5,4,25,46.3,1072
"78",232565,"health","off_brand",4.8,6,8,70.5,2610
"79",95134,"toys",NA,3.6,12,26,31.6,1978
"80",167587,"food","premium",4.1,5,18,8.9,1303
"81",179464,"other","premium",4.6,11,26,38.5,1788
"82",168171,"health","off_brand",4.6,6,22,NA,2586
"83",274940,"toys","off_brand",4.8,18,25,52.8,3596
"84",157304,"other","premium",3,9,5,51.8,3114
"85",191635,"health","off_brand",4.5,15,21,50.8,1850
"86",184598,"toys","off_brand",4.6,9,22,NA,2476
"87",267011,"food","off_brand",4.5,5,29,45,4098
"88",176769,"food","off_brand",4.4,14,16,23.3,1211
"89",160734,"health","off_brand",4.6,1,31,33.8,2793
"90",145922,"toys","premium",4.6,12,12,38.9,1152
"91",148291,"food","premium",4.6,17,9,22.2,889
"92",137911,"toys","off_brand",4.4,17,16,58,958
"93",126148,"health","premium",4,1,26,NA,2685
"94",164150,"toys","premium",4.6,7,14,49,1907
"95",119893,"health","premium",4.3,4,24,36.1,1709
"96",175745,"health","premium",4.8,14,34,37.7,1607
"97",200866,"health","off_brand",4.2,11,20,71.8,2428
"98",142221,"toys","off_brand",4.9,10,NA,50.3,790
"99",132360,"food","premium",4.6,4,23,50.9,871
"100",76172,"health","off_brand",4.2,5,29,24.7,920
"101",173438,"toys","premium",4.6,12,NA,42.6,2852
"102",105632,"health","off_brand",2.6,8,NA,5,1579
"103",172143,"toys","off_brand",4.7,5,24,75.4,3090
"104",149780,"health","premium",4.3,9,17,77.6,1191
"105",46469,"other","off_brand",3,2,23,56.1,1484
"106",304493,"health","off_brand",4.8,20,3,41.4,3626
"107",124538,"toys","premium",3.8,2,26,58,2122
"108",125516,"other","premium",4.5,3,10,8.8,1428
"109",162205,"toys","premium",4.9,10,21,39.2,1034
"110",178192,"other",NA,3.8,5,25,35.5,3266
"111",145120,"food","premium",4.6,5,17,58.4,923
"112",138836,"food",NA,4.2,10,18,32.1,845
"113",193598,"toys","premium",4.8,14,19,72.2,2586
"114",175404,"toys","premium",4.5,4,20,26.7,3337
"115",133634,"food","premium",4.2,7,12,34.9,752
"116",115502,"health","off_brand",3.8,7,19,38.8,1009
"117",206262,"food","off_brand",4.4,17,NA,64.8,1314
"118",118944,"toys","premium",4.4,4,NA,74.2,767
"119",96745,"toys","premium",4.8,14,30,33.3,556
"120",157511,"health","premium",4.2,20,16,61.5,2222
"121",66780,"toys","premium",3.8,3,17,40.5,958
"122",214094,"toys","premium",4.7,11,25,80.5,3400
"123",245655,"health","premium",4.8,13,20,73.2,2975
"124",183571,"food","off_brand",4.1,6,34,49.9,2520
"125",189172,"health","off_brand",4.2,17,24,27.8,2624
"126",129555,"toys","premium",4.4,8,15,54.1,1356
"127",51837,"other","premium",4,3,12,45,572
"128",209188,"other","off_brand",4.3,4,30,37.8,2755
"129",57622,"toys","off_brand",3.6,11,14,90.6,994
"130",178667,"toys","off_brand",4.8,8,25,42.3,2165
"131",80034,"other","off_brand",3.9,8,26,38,1029
"132",37902,"toys","premium",4.1,6,16,34.2,796
"133",160867,"toys","off_brand",4.7,6,12,54.9,2188
"134",198641,"food","off_brand",4.1,2,20,87.1,2772
"135",98226,"health","premium",4,13,16,29.6,1995
"136",134165,"toys","off_brand",4.2,8,NA,74.4,2314
"137",151845,"toys","premium",4.2,11,20,52.1,2275
"138",253050,"toys","off_brand",4.4,24,30,81.2,3899
"139",207955,"health","off_brand",3.8,3,13,5,3790
"140",80982,"toys","off_brand",4.6,5,19,78.6,847
"141",214843,"health","off_brand",4.8,7,17,51.4,2270
"142",162431,"health","off_brand",4.5,2,20,40.3,2044
"143",215456,"other","off_brand",4.7,4,17,27,2805
"144",233932,"toys","premium",4.8,6,11,48.9,3582
"145",221029,"health","premium",4.6,23,22,57.5,2924
"146",186051,"food","premium",4.4,9,19,71.8,2534
"147",136326,"health","off_brand",4.3,11,14,68.9,1882
"148",209969,"health","off_brand",4.1,14,19,55.3,3717
"149",47826,"toys","premium",3.5,17,23,46.2,1033
"150",167136,"health","premium",4.8,4,25,26,2421
"151",151987,"toys","off_brand",4.5,8,31,70.7,2482
"152",112781,"food","off_brand",3.6,2,NA,26.9,1140
"153",59953,"health","premium",4,7,21,5,653
"154",133576,"other","premium",3.7,11,13,5,2016
"155",94298,"health","off_brand",4,4,19,13.4,1237
"156",118652,"food","premium",3.7,9,17,48.3,1187
"157",205986,"toys","off_brand",5,8,17,72.5,2673
"158",108372,"health","off_brand",4.3,3,9,22.8,454
"159",123713,"health","off_brand",4.6,2,20,52.1,1522
"160",219085,"toys","off_brand",4.3,2,NA,39,3941
"161",64301,"toys","off_brand",3.9,14,32,52.4,1008
"162",174638,"health","premium",4.3,5,NA,40.1,2910
"163",84358,"health","premium",2.3,8,10,23.1,925
"164",128167,"other","off_brand",4.6,7,11,19.9,1101
"165",155668,"health","premium",4.6,17,NA,59.4,1716
"166",81006,"other","premium",4.1,2,24,NA,699
"167",208573,"health","off_brand",4.4,6,33,34.6,2965
"168",162189,"health","off_brand",3.5,9,22,62.6,2602
"169",193552,"toys","off_brand",4.6,16,15,90.4,920
"170",196153,"toys","premium",4,21,26,39.8,3438
"171",70017,"other","premium",3.9,15,NA,19.2,1081
"172",119478,"health","off_brand",4.6,11,33,60.2,639
"173",124990,"health","off_brand",4.1,6,18,38.1,1313
"174",243744,"food","off_brand",4.6,7,29,32.8,3640
"175",206140,"health","off_brand",3.6,10,23,90.7,3200
"176",169411,"health","premium",4.4,10,11,56.1,2859
"177",111693,"toys","off_brand",2.8,4,37,18.6,2528
"178",84336,"other","off_brand",3.9,17,20,72.8,780
"179",130749,"health","premium",4.2,10,16,39.3,878
"180",146040,"other","off_brand",4.8,224,11,41.9,873
"181",135978,"health","off_brand",3.1,8,NA,71.8,2388
"182",216176,"health","premium",4,17,25,27.3,3516
"183",126357,"health","off_brand",4.4,7,28,29.6,950
"184",136258,"other","off_brand",4.7,14,19,47.1,782
"185",72776,"other","off_brand",3.7,2,NA,42.3,1165
"186",149223,"health","premium",4.3,7,NA,62.7,2348
"187",238410,"other","off_brand",4.3,5,26,33.1,3562
"188",158583,"health","off_brand",2.8,1,22,36.8,3530
"189",189055,"health","premium",4.3,5,21,45.7,2376
"190",146681,"health","off_brand",4.8,7,16,77.7,1302
"191",185698,"food","premium",4.9,2,23,53.5,1645
"192",131323,"health","off_brand",4.2,9,22,52.1,1974
"193",139502,"health","premium",4.5,8,32,72.2,2091
"194",121207,"toys","off_brand",4.2,10,26,36.1,1772
"195",252012,"food","off_brand",4.2,3,30,41.4,3863
"196",129951,"toys","off_brand",4.7,4,17,32.5,1143
"197",266675,"other","off_brand",4.7,16,12,39.6,3316
"198",98767,"food","off_brand",3.7,10,11,35.4,1172
"199",139956,"toys","off_brand",4.7,4,18,50,934
"200",147079,"toys","off_brand",4.5,17,26,41.1,1423
"201",181935,"health","off_brand",4.9,7,15,7.6,935
"202",109949,"health","premium",4.3,0,21,12.5,1737
"203",168965,"food","premium",3,11,25,66.7,3128
"204",78887,"health","premium",4.1,5,15,75.7,815
"205",130541,"toys","off_brand",4.7,2,34,72.5,1095
"206",82549,"toys","off_brand",3.5,2,27,64.8,1706
"207",124518,"toys","off_brand",4.3,11,22,57.9,997
"208",237988,"toys",NA,3.8,6,NA,55.2,4241
"209",103270,"other","off_brand",4.1,4,28,40.3,802
"210",170421,"health","off_brand",4.6,15,30,47.7,1215
"211",107328,"toys","off_brand",3.5,1,16,36.5,2784
"212",145491,"other","off_brand",4.4,7,31,20.9,1297
"213",126722,"health","premium",4,3,8,12.5,1671
"214",181637,"other","premium",4.5,3,12,51.9,2174
"215",106104,"other","premium",4.5,11,14,46.4,895
"216",185277,"toys","off_brand",4.3,6,7,83.7,2156
"217",185883,"health","premium",4.4,17,19,18.7,2691
"218",214769,"food","off_brand",5,10,30,72.5,2155
"219",54030,"health","premium",3.7,5,19,24.2,884
"220",110345,"food",NA,3.8,5,20,54.5,994
"221",56584,"toys","off_brand",3.4,4,17,50.2,887
"222",156643,"health","off_brand",4.4,7,24,23.1,2225
"223",153415,"other","off_brand",4.4,4,12,80,1939
"224",297677,"toys","off_brand",4.9,12,13,56,3778
"225",109824,"health","premium",4.1,17,1,5,603
"226",174549,"health","premium",4.4,11,20,37.1,2430
"227",204036,"toys","premium",4.6,23,23,72.4,2310
"228",69491,"other","premium",3.5,11,11,43.2,921
"229",82764,"other","premium",3.8,4,14,14.1,994
"230",118608,"health","premium",4.4,12,17,33.1,1299
"231",12008,"toys","off_brand",3.4,1,20,38.5,1124
"232",186546,"toys","off_brand",3.6,13,21,85.2,2968
"233",197036,"health","premium",4.4,1,17,50.8,3128
"234",118942,"health","premium",4.4,5,NA,5,1891
"235",41646,"health","premium",4,12,17,5,683
"236",186774,"food","off_brand",4.9,11,4,17.8,751
"237",98783,"toys","off_brand",4.3,10,17,20.7,989
"238",56392,"other","premium",2.6,6,15,82.3,812
"239",143934,"toys","off_brand",4,7,17,66.5,2155
"240",210109,"toys","premium",4.7,7,8,67,2990
"241",132830,"other",NA,4.3,1,22,41.5,2324
"242",119574,"health","premium",4.6,3,23,28.8,1053
"243",121413,"other","off_brand",4.3,3,16,61.8,995
"244",187271,"toys","off_brand",4.4,15,10,56,2142
"245",98327,"toys","off_brand",3.3,13,21,40.4,1939
"246",152470,"health","premium",4.3,2,16,55.5,1835
"247",153133,"health","off_brand",3.9,8,20,52,2890
"248",276065,"other","premium",4.7,12,15,58.6,4027
"249",111175,"toys","off_brand",4.2,5,15,49.3,1942
"250",207101,"toys","off_brand",4.4,8,13,45.7,3074
"251",226334,"toys","off_brand",4.6,13,28,78,3087
"252",154931,"toys","off_brand",3,10,15,69.1,2358
"253",164467,"toys","off_brand",3.9,14,28,80.1,3023
"254",284970,"health","off_brand",4.6,2,11,5,4289
"255",216340,"toys","off_brand",4.7,21,15,56,1979
"256",183081,"health","off_brand",4.7,17,8,57.4,876
"257",101667,"toys","premium",4.3,4,24,33.2,970
"258",159375,"other","off_brand",4.8,4,14,56.9,1767
"259",169605,"health","off_brand",4.5,22,22,NA,740
"260",97582,"toys","premium",4.4,13,35,45,1068
"261",158734,"health","premium",4.5,5,35,54.1,1709
"262",156264,"toys","off_brand",3.9,10,34,73.8,2353
"263",198092,"food","off_brand",4,4,22,77.5,2263
"264",70452,"toys",NA,3.6,7,9,31.1,1046
"265",142310,"toys","premium",4.3,9,30,33.1,2753
"266",160019,"other","off_brand",4.4,9,24,70.3,1742
"267",154376,"health","premium",4.7,20,12,16.1,1090
"268",137150,"health","premium",4.3,12,18,41.4,1069
"269",226808,"food","premium",4.4,9,17,11.2,3386
"270",93428,"health","off_brand",4.1,2,20,31.3,853
"271",184838,"toys","off_brand",4.6,6,28,56.2,2801
"272",115598,"toys","off_brand",4.1,9,18,54.2,886
"273",155719,"food","premium",4.1,5,27,52.2,2999
"274",88714,"toys","premium",4,3,12,44,895
"275",191794,"health",NA,4.6,16,15,6.8,2438
"276",70686,"health","premium",3.8,1,13,60.9,974
"277",222554,"food","off_brand",3.4,4,10,NA,3182
"278",187603,"other","off_brand",4.8,7,19,37.5,1234
"279",174958,"toys","off_brand",4.7,8,29,42.1,2366
"280",157009,"health","off_brand",4.6,14,11,26.6,894
"281",203592,"other","off_brand",4.3,9,23,87.6,2859
"282",142772,"health","off_brand",4.2,6,15,17.9,2308
"283",146800,"food","off_brand",4.5,8,27,50,1044
"284",125997,"health","off_brand",4.3,2,20,55.3,2067
"285",165196,"toys","premium",4.7,6,13,46.3,2155
"286",178899,"health","off_brand",4.8,3,20,16.8,2120
"287",186706,"health","off_brand",4,16,14,56.7,2365
"288",95445,"health","off_brand",4.3,6,25,31.2,739
"289",124117,"toys","premium",4.1,17,11,76.3,720
"290",136596,"toys","premium",3.7,4,7,43.8,2871
"291",226482,"toys","off_brand",4.9,12,19,52.5,2366
"292",67331,"health","off_brand",3.3,6,18,62.6,1182
"293",219142,"health","off_brand",4.2,10,18,78.6,2502
"294",90944,"toys","premium",3.9,21,22,72.1,622
"295",150350,"health","off_brand",4.4,3,5,60.1,1435
"296",256333,"other","off_brand",4.7,15,12,62,3084
"297",174904,"toys","premium",4.9,8,19,52.4,1717
"298",132527,"health","premium",4.6,2,11,22.6,1308
"299",78006,"health","premium",3.9,2,37,46.3,731
"300",312278,"food","premium",4.6,19,5,51.9,4021
"301",161920,"toys",NA,4.3,1,25,51.4,3287
"302",188695,"toys","premium",4.2,7,15,60.9,2822
"303",107694,"health",NA,3.9,16,16,49.3,1058
"304",189171,"toys","off_brand",4.7,2,28,76,2437
"305",97454,"health","off_brand",3.7,8,22,38.1,1201
"306",96644,"toys","premium",4.5,11,21,63.2,931
"307",187900,"toys","premium",4.6,8,22,37.5,2714
"308",114808,"toys","off_brand",4.5,2,19,80.7,988
"309",112896,"health","premium",2.8,17,19,NA,2693
"310",221255,"food","off_brand",4.7,6,28,NA,2687
"311",212053,"food","premium",4.5,8,14,54.5,2767
"312",86313,"toys","premium",3.7,10,9,58,775
"313",83270,"health","off_brand",3.8,4,23,64,1817
"314",135076,"other","premium",4.5,8,26,14,1344
"315",165396,"other","premium",4.6,14,9,67.4,1591
"316",264804,"health","off_brand",4.7,13,7,73.4,3310
"317",146580,"toys","off_brand",4.4,15,26,74.8,1014
"318",168416,"toys","off_brand",3.9,9,18,42.9,2376
"319",161186,"toys","off_brand",4.6,8,NA,NA,2634
"320",95843,"toys","off_brand",3.5,4,14,84.2,898
"321",201127,"health",NA,4.7,2,20,34.9,2341
"322",182769,"other","off_brand",4.9,10,23,31.2,1388
"323",60604,"toys","premium",3.3,8,26,31.4,749
"324",80445,"toys","premium",3.9,12,10,39.4,1155
"325",96110,"toys","off_brand",4.6,18,26,64.6,338
"326",111510,"other","off_brand",4.2,6,24,44.2,844
"327",156125,"toys","off_brand",4.8,15,29,41.5,910
"328",126649,"food","premium",4.5,6,17,34.5,1317
"329",108514,"health","premium",4.2,15,21,23.8,768
"330",72728,"health","off_brand",2.9,2,35,43.6,1036
"331",179479,"other","off_brand",4.7,8,21,48.9,3021
"332",155972,"health","premium",2.7,3,19,29.3,2917
"333",130989,"toys","premium",4.6,3,21,47.8,1395
"334",189538,"health","off_brand",4.5,3,9,56.8,2920
"335",215626,"toys","off_brand",4.9,11,NA,56.8,2196
"336",221688,"health","premium",3.8,22,22,29.4,3587
"337",103879,"health","premium",4.6,9,25,25.9,946
"338",179104,"toys","off_brand",4.5,5,16,67.8,2385
"339",74674,"food","premium",3.1,2,11,36.8,1944
"340",119520,"food","off_brand",4.1,5,20,20.1,1430
"341",252451,"toys","premium",4.7,8,14,56.6,4169
"342",131089,"toys","off_brand",4.1,9,26,38.8,829
"343",169431,"food","off_brand",4,14,24,33.5,1878
"344",202265,"toys","premium",4.3,4,25,60.2,3077
"345",96519,"other","off_brand",4.1,10,12,14.1,730
"346",146535,"toys",NA,4.7,6,27,56.1,966
"347",158948,"toys","premium",3.8,2,17,78.5,2938
"348",166200,"food","premium",4.2,3,1,12.1,1739
"349",223933,"food","off_brand",4.6,7,16,60.5,2303
"350",163488,"toys","off_brand",4.9,6,18,61.6,1471
"351",228469,"health","premium",4.8,13,10,35,2293
"352",78544,"toys","off_brand",4.4,6,14,60,898
"353",124847,"health","off_brand",4.3,2,23,66.8,1299
"354",111375,"health","premium",4.3,6,24,50.5,1887
"355",172335,"toys","off_brand",4.8,5,25,45.8,1980
"356",195042,"food","premium",3.9,4,22,64.4,3083
"357",139970,"toys","off_brand",3.1,2,27,52.1,2767
"358",160410,"other","off_brand",4.4,1,23,69,2704
"359",258868,"health","off_brand",4.8,11,30,39.2,3287
"360",240946,"toys","premium",4.8,3,6,27.4,3906
"361",128417,"toys","premium",3.9,2,25,39.2,1932
"362",167814,"toys","off_brand",4.3,8,33,41.7,3537
"363",141206,"other","off_brand",4.5,3,21,80.5,1068
"364",160008,"toys","premium",3.8,12,20,74.8,2672
"365",115941,"toys","off_brand",4.2,10,22,28.5,1140
"366",135758,"toys",NA,4.5,6,24,85.6,999
"367",172421,"toys","premium",4.3,4,NA,32.4,2277
"368",174533,"health","off_brand",4.9,9,10,97.9,708
"369",199154,"other","off_brand",4.5,2,24,NA,2918
"370",118414,"health","off_brand",4.4,9,14,38.8,1030
"371",110395,"toys","off_brand",3.7,3,28,50.7,1550
"372",77434,"toys","off_brand",4.6,2,13,47.8,1209
"373",157919,"food","off_brand",4.2,4,25,81.4,1981
"374",163269,"toys","premium",4.2,3,26,72.8,3114
"375",110893,"health","premium",4.4,13,19,21.5,849
"376",100929,"toys","premium",4.7,1,28,72.7,1715
"377",149155,"health","off_brand",4.4,13,14,48.3,980
"378",181837,"health","off_brand",4.6,5,24,44.1,2440
"379",207440,"toys","off_brand",4.7,15,25,92.5,2740
"380",120713,"health","premium",4.7,4,14,40.7,1045
"381",59426,"toys","premium",3.8,6,31,72.3,751
"382",165506,"toys","off_brand",3.8,15,15,43.6,2663
"383",104732,"toys","off_brand",4,6,25,NA,728
"384",88931,"other","premium",4,14,39,27.1,820
"385",192908,"health","off_brand",4.2,3,5,31.2,2967
"386",76398,"health","off_brand",3.9,3,18,38.6,943
"387",146828,"toys","off_brand",4.2,0,30,35.1,2444
"388",96583,"toys","premium",3.7,4,18,69.3,2111
"389",152865,"other","off_brand",3.8,13,19,47.9,2341
"390",140991,"health","premium",4.7,11,11,8.4,1942
"391",93852,"health","premium",4.2,3,24,42.3,1056
"392",89171,"toys","off_brand",4.3,2,11,13.9,911
"393",87973,"health","off_brand",4.1,2,16,63.4,780
"394",86184,"health","premium",4.3,2,22,12.8,956
"395",139311,"health","premium",4.6,6,11,25.8,864
"396",246927,"food","off_brand",4.9,7,22,42.1,2836
"397",187718,"health","off_brand",4.3,15,23,54.7,2650
"398",202293,"toys","off_brand",4.5,9,12,76.1,3204
"399",181573,"toys","premium",4,2,22,32.1,3653
"400",32530,"toys","premium",3.4,6,24,87.7,978
"401",192088,"health","premium",4.7,3,7,10.9,2520
"402",209490,"health","premium",4.3,6,18,48.7,3793
"403",113640,"toys","off_brand",4.1,4,17,65,2272
"404",97852,"toys","premium",4.4,7,19,7.5,877
"405",145435,"other","premium",4.4,5,18,42.9,1917
"406",86376,"other","off_brand",3.5,5,10,59.8,1099
"407",159895,"health","off_brand",4.5,3,NA,33.7,2488
"408",79322,"health","off_brand",3.6,2,NA,39,1372
"409",129200,"other","off_brand",4.3,7,NA,57.9,852
"410",131602,"toys","premium",4,23,14,77.9,1016
"411",72268,"other","premium",4.6,2,9,50.2,937
"412",138170,"toys","off_brand",4.1,24,18,19.7,1574
"413",159791,"food","premium",3.9,5,9,NA,2385
"414",64481,"toys","off_brand",3.7,2,24,58.4,1844
"415",206672,"toys","off_brand",4.4,8,21,44.1,2253
"416",187236,"health","off_brand",4.2,4,12,27.8,2310
"417",165799,"health","off_brand",4.7,17,19,80.8,960
"418",113119,"food","off_brand",4.3,5,28,72.2,1428
"419",143214,"health","premium",4.1,11,20,NA,1735
"420",207099,"health","premium",4.7,11,7,40.9,2137
"421",148530,"health","off_brand",4.2,12,17,NA,2185
"422",50845,"health","off_brand",3.7,5,24,58.2,891
"423",103121,"food","premium",4.1,12,13,23.4,953
"424",220080,"toys","off_brand",3.5,23,22,62.2,3075
"425",132632,"food","premium",3.7,2,16,68.8,1180
"426",208338,"other","premium",4.5,15,19,31.8,2184
"427",164122,"toys","off_brand",4.8,5,13,88.9,1697
"428",157615,"other","premium",3.6,9,3,53.9,3403
"429",107578,"other","premium",4.8,6,25,39.9,1029
"430",190408,"food","off_brand",4.4,4,10,37.3,2464
"431",220966,"toys","off_brand",4.5,2,19,51.4,3439
"432",107051,"food","premium",1.7,12,NA,53.1,932
"433",186291,"health","off_brand",3.8,201,12,72.7,2829
"434",219253,"food","off_brand",4.6,5,22,69.8,3035
"435",136881,"toys","off_brand",4.3,9,23,60.1,932
"436",195742,"toys","premium",4.1,12,33,5,3046
"437",170899,"health","premium",4.8,5,36,44.5,2008
"438",203010,"other","off_brand",4.7,3,25,62,2463
"439",75245,"toys","off_brand",3.1,2,20,60.2,768
"440",75342,"toys","off_brand",3.5,7,26,53.9,1049
"441",98745,"toys","off_brand",4,15,21,79.3,798
"442",140971,"toys","off_brand",3.5,5,30,74.8,2821
"443",156339,"other","off_brand",4.9,8,13,85.4,1049
"444",92590,"health","premium",4.2,12,19,50.3,1281
"445",144643,"toys","premium",4.6,3,28,33.3,2724
"446",205038,"health","off_brand",4.3,8,2,42.9,3551
"447",187586,"toys","premium",4.2,4,20,56.9,3111
"448",201214,"health","premium",4.4,30,19,27.9,2797
"449",112145,"toys","off_brand",4.2,5,22,75.3,1022
"450",130684,"health","premium",3.9,1,32,66.9,2447
"451",140601,"toys","off_brand",4.1,9,12,68.9,1191
"452",156875,"toys","off_brand",4.4,1,19,73.5,2135
"453",69443,"toys","premium",3.7,2,23,29.2,1503
"454",194731,"health",NA,4.9,15,31,5,2575
"455",220287,"toys","premium",4.7,9,26,60.2,3429
"456",146647,"health","off_brand",4.3,2,22,37.5,1133
"457",123739,"toys","off_brand",4.4,6,22,69.5,1120
"458",261299,"health","off_brand",4.5,12,19,44.8,3216
"459",145198,"other","off_brand",4.8,7,31,78.4,1068
"460",70256,"other","premium",3.4,9,9,45.2,942
"461",145920,"toys","off_brand",3.7,4,13,47.6,2916
"462",186427,"other","off_brand",4.4,2,20,39.5,2638
"463",198602,"other","premium",4,6,NA,34.1,2793
"464",185537,"toys","off_brand",4.2,15,29,73.8,3294
"465",184575,"food","premium",4.1,5,32,15.1,3177
"466",206964,"health","premium",4.5,6,33,63.6,3293
"467",118000,"other","premium",4.2,12,24,15.1,758
"468",153890,"toys","off_brand",3.8,2,NA,54.3,3502
"469",151879,"toys","premium",4.5,7,19,62.2,1729
"470",164357,"health","off_brand",3.5,20,23,28.7,2313
"471",185458,"toys","off_brand",3.6,6,32,62.9,3919
"472",186883,"health","premium",3.1,5,22,38,3349
"473",167879,"toys","off_brand",4.8,15,30,38,1110
"474",169009,"health","premium",4.6,16,33,52.3,1775
"475",184302,"health","off_brand",4.4,6,29,51.3,2108
"476",74012,"health","off_brand",3.1,15,20,76.1,751
"477",112088,"toys","off_brand",4.2,8,22,103.6,843
"478",66240,"health","off_brand",3.9,6,23,38.2,1082
"479",168160,"toys","off_brand",4.1,6,NA,49.1,2893
"480",170482,"food","off_brand",4.7,8,34,56.4,1157
"481",107910,"toys","off_brand",4.3,7,16,53.3,394
"482",97405,"other","premium",3.9,6,5,5,789
"483",74836,"health","off_brand",4.2,2,16,26.1,1155
"484",185180,"food","off_brand",4.6,16,18,NA,1319
"485",68034,"toys","premium",2.6,28,22,49,1662
"486",150165,"toys","off_brand",4,9,11,35.5,1611
"487",67223,"health","off_brand",3.6,11,22,22.3,811
"488",138460,"toys","off_brand",4.3,11,31,69.5,2092
"489",170742,"health","off_brand",4.2,2,22,46.2,3077
"490",138112,"toys","premium",4.7,10,NA,48.8,2146
"491",244981,"food","off_brand",4.6,15,NA,43.6,2446
"492",213743,"toys","off_brand",4.6,10,15,73.7,3151
"493",230170,"food","premium",3.9,20,19,46.5,2824
"494",110844,"health",NA,3.5,11,NA,NA,1835
"495",150727,"health","off_brand",3.8,11,12,85.5,2385
"496",79576,"food","premium",2.9,9,19,42.2,1266
"497",179210,"food","premium",4.6,7,20,29.6,2461
"498",102059,"health","off_brand",3.8,15,27,45.6,1000
